// Item Trade Restrictions Database
// Defines special trade rules for individual items.
//
// Structure of Database:
// Item ID, TradeMask,Group Level Override
//
// Legend for 'TradeMask' field (bitmask):
// 1   - item can't be dropped
// 2   - item can't be traded (nor vended)
// 4   - wedded partner can override restriction 2
// 8   - item can't be sold to npcs
// 16  - item can't be placed in the cart
// 32  - item can't be placed in the storage
// 64  - item can't be placed in the guild storage
// 128 - item can't be attached to mail
// 256 - item can't be auctioned
//
// Example:
// 1161,67,50
//	Balmung cannot be dropped, traded, or placed in Guild Storage (1+2+64).
//	Only groups of group-level 50 and up can override this setting.

547,499,100	// White_Slim_Potion
13760,32,100	// Honey_Box
13761,32,100	// Empty_Bottle_Box
13762,32,100	// In_Royal_Jelly_Box
13764,32,100	// Battle_Manual_Box_TW
13766,32,100	// Nagan_Box
13767,32,100	// Skewer_Box
13768,32,100	// Survival_Rod_Box
13769,32,100	// Quadrille_Box
13770,32,100	// Great_Axe_Box
13771,32,100	// Bloody_Roar_Box
13772,32,100	// Hardback_Box
13773,32,100	// Fire_Brand_Box
13774,32,100	// Immaterial_Sword_Box
13775,32,100	// Unholy_Touch_Box
13776,32,100	// Cloak_Of_Survival_Box
13777,32,100	// Masquerade_Box
13778,32,100	// Orc_Hero_Helm_Box
13779,32,100	// Evil_Wing_Ears_Box
13780,32,100	// Dark_Blindfold_Box
13781,32,100	// kRO_Drooping_Kitty_Box
13782,32,100	// Corsair_Box
13783,32,100	// Bloody_Iron_Ball_Box
13784,32,100	// Spiritual_Ring_Box
13785,32,100	// Nagan_Box1
13786,32,100	// Skewer_Box1
13787,32,100	// Survival_Rod_Box1
13788,32,100	// Quadrille_Box1
13789,32,100	// Great_Axe_Box1
13790,32,100	// Bloody_Roar_Box1
13791,32,100	// Hardback_Box1
13792,32,100	// Fire_Brand_Box1
13793,32,100	// Immaterial_Sword_Box1
13794,32,100	// Unholy_Touch_Box1
13795,32,100	// Cloak_Of_Survival_Box1
13796,32,100	// Masquerade_Box1
13797,32,100	// Orc_Hero_Helm_Box1
13798,32,100	// Evil_Wing_Ears_Box1
13799,32,100	// Dark_Blindfold_Box1
13800,32,100	// kRO_Drooping_Kitty_Box1
13801,32,100	// Corsair_Box1
13802,32,100	// Bloody_Iron_Ball_Box1
13803,32,100	// Spiritual_Ring_Box1
13804,32,100	// Fire_Cracker_Love_Box
13805,32,100	// Fire_Cracker_Wday_Box
13806,32,100	// Fire_Cracker_Vday_Box
13807,32,100	// Fire_Cracker_Bday_Box
13808,32,100	// Fire_Cracker_Xmas_Box
13809,32,100	// Blue_Gemstone_Box
13810,32,100	// Blue_Potion_Box
13811,32,100	// Food_Box_Lv1
13812,32,100	// Food_Box_Lv2
13813,32,100	// Food_Box_Lv3
13814,32,100	// Indonesia_Box
13815,32,100	// Knife_Goblin_Box
13816,32,100	// Flail_Goblin_Box
13817,32,100	// Hammer_Goblin_Box
13818,32,100	// Red_Deleter_Box
13819,32,100	// Diabolic_Box
13820,32,100	// Wanderer_Box
13821,32,100	// Green_Apple_Box
13822,32,100	// Whole_Barbecue_Box
13823,32,100	// Meat_Veg_Skewer_Box
13824,32,100	// Spirit_Liquor_Box
13826,32,100	// Power_Box1
13827,32,100	// Power_Box2
13828,32,100	// Resist_Box1
13829,32,100	// Resist_Box2
13830,32,100	// Stat_Boost1
13831,32,100	// Stat_Boost2
13832,32,100	// Stat_Boost3
13833,32,100	// Stat_Boost4
13834,32,100	// Dun_Tele_Scroll2_Box5
13835,32,100	// Dun_Tele_Scroll2_Box10
13836,32,100	// Mbl_Str_Dish_Box
13837,32,100	// Mbl_Agi_Dish_Box
13838,32,100	// Mbl_Int_Dish_Box
13839,32,100	// Mbl_Dex_Dish_Box
13840,32,100	// Mbl_Luk_Dish_Box
13841,32,100	// Mbl_Vit_Dish_Box
13842,32,100	// Mbl_Kafra_Card_Box
13843,32,100	// Mbl_Battle_Manual_Box
13844,32,100	// Heroic_Stone_Box
13845,32,100	// Mysterious_Travel_Sack1
13846,32,100	// Mysterious_Travel_Sack2
13847,32,100	// Mysterious_Travel_Sack3
13848,32,100	// Mysterious_Travel_Sack4
13849,32,100	// WOB_Box_Rune5
13850,32,100	// WOB_Box_Rune10
13851,32,100	// WOB_Box_Schawaltz5
13852,32,100	// WOB_Box_Schawaltz10
13853,32,100	// WOB_Box_Rachel5
13854,32,100	// WOB_Box_Rachel10
13855,32,100	// WOB_Box_Local5
13856,32,100	// WOB_Box_Local10
13857,32,100	// Spark_Candy_Box5
13858,32,100	// Spark_Candy_Box10
13861,32,100	// Mini_Battle_Manual_Box
13862,32,100	// Trial_Box
13863,32,100	// Repair_Scroll_Box10
13864,32,100	// Hockey_Mask_Box
13865,32,100	// Observer_Box
13866,32,100	// Flying_Angel_Box
13867,32,100	// Neko_Mimi_Box
13868,32,100	// MFH_Box
13869,32,100	// Chick_Hat_Box
13870,32,100	// New_Style_Box
13871,32,100	// Magician_Card_Box
13872,32,100	// Acolyte_Card_Box
13873,32,100	// Archer_Card_Box
13874,32,100	// Swordman_Card_Box
13875,32,100	// Thief_Card_Box
13876,32,100	// Merchant_Card_Box
13877,32,100	// Clock_Tower_Card_Box
13878,32,100	// Geffenia_Card_Box
13879,32,100	// Owl_Card_Box
13880,32,100	// Ghost_Card_Box
13881,32,100	// Nightmare_Card_Box
13882,32,100	// Curse_Card_Box
13883,32,100	// Sleep_Card_Box
13884,32,100	// Freeze_Card_Box
13885,32,100	// Stun_Card_Box
13886,32,100	// Silence_Card_Box
13887,32,100	// Blind_Card_Box
13888,32,100	// Chaos_Card_Box
13889,32,100	// Elunium_Box_
13890,32,100	// Oridecon_Box_
13891,32,100	// Fire_Converter_Box
13892,32,100	// Water_Converter_Box
13893,32,100	// Wind_Converter_Box
13894,32,100	// Earth_Converter_Box
13895,32,100	// Starter_Pack
13896,32,100	// Mimic_Summon_Box5
13897,32,100	// Disguise_Summon_Box5
13898,32,100	// Alice_Summon_Box5
13899,32,100	// Mimic_Summon_Box10
13900,32,100	// Disguise_Summon_Box10
13901,32,100	// Alice_Summon_Box10
13902,32,100	// Fish_Head_Hat_Box
13903,32,100	// Santa_Poring_Hat_Box
13904,32,100	// Bell_Ribbon_Box
13905,32,100	// Hard_Core_Set_Box
13906,32,100	// Kitty_Set_Box
13907,32,100	// Soft_Core_Set_Box
13908,32,100	// Deviruchi_Set_Box
13909,32,100	// MVP_Hunt_Box
13910,32,100	// Brewing_Box
13911,32,100	// Christmas_Pet_Scroll
13912,32,100	// Pty_Blessing_Box
13913,32,100	// Pty_Inc_Agi_Box
13914,32,100	// Pty_Assumptio_Box
13915,32,100	// Love_Angel_Box
13916,32,100	// Squirrel_Box
13917,32,100	// Gogo_Box
13918,32,100	// Drooping_W_Kitty_Box
13919,32,100	// L_Magestic_Goat_Box
13920,32,100	// Satanic_Chain_P_Box
13921,32,100	// Antique_Pipe_Box
13922,32,100	// Rabbit_Ear_Hat_Box
13923,32,100	// Darkness_Helm_Box
13924,32,100	// L_Orc_Hero_Helm_Box
13925,32,100	// Lucky_Scroll08
13926,32,100	// Crusader_Card_Box
13927,32,100	// Alchemist_Card_Box
13928,32,100	// Rogue_Card_Box
13929,32,100	// Bard_Dancer_Card_Box
13930,32,100	// Sage_Card_Box
13931,32,100	// Monk_Card_Box
13932,32,100	// Sylph_Box
13933,32,100	// Undine_Box
13934,32,100	// Salamander_Box
13935,32,100	// Soul_Box
13936,32,100	// Noum_Box
13937,32,100	// Robo_Eye_Box
13938,32,100	// Twin_Ribbon_Box
13939,32,100	// Diadem_Box
13940,32,100	// Siege_Tele_Scroll_Box
13940,32,100	// Siege_Tele_Scroll_Box
13941,32,100	// TW_Valentine_Scroll
13942,32,100	// Love_Angel_Box_1m
13943,32,100	// Squirrel_Box_1m
13944,32,100	// Gogo_Box_1m
13945,32,100	// Br_SwordPackage
13946,32,100	// Br_MagePackage
13947,32,100	// Br_AcolPackage
13948,32,100	// Br_ArcherPackage
13949,32,100	// Br_MerPackage
13950,32,100	// Br_ThiefPackage
13951,32,100	// Wasteland_Outlaw_Box
13952,32,100	// Lever_Action_Rifle_Box
13953,32,100	// All_In_One_Ring_Box
13954,32,100	// Spiritual_Tunic_Box
13955,32,100	// Recuperative_Armor_Box
13956,32,100	// Shelter_Resistance_Box
13957,32,100	// Sylphid_Manteau_Box
13958,32,100	// Refresh_Shoes_Box
13959,32,100	// Toast_Box
13960,32,100	// Name_Change_Coupon_Box
13961,32,100	// Mojji_Box
13962,32,100	// Deprotai_Doll_Hat_Box
13963,32,100	// Claris_Doll_Hat_Box
13964,32,100	// Sorin_Doll_Hat_Box
13965,32,100	// Tayelin_Doll_Hat_Box
13966,32,100	// Binit_Doll_Hat_Box
13967,32,100	// Debril_Doll_Hat_Box
13968,32,100	// Bubblegum_Lower_Box
13969,32,100	// Lucky_Clip_Box
13970,32,100	// Iron_10_Box
13971,32,100	// Steel_10_Box
13972,32,100	// Coal_10_Box
13973,32,100	// Poison_Bottle_30_Box
13974,32,100	// TW_Scroll01
13975,32,100	// Picture_Diary_Box
13976,32,100	// Mini_Heart_Box
13977,32,100	// Newcomer_Box
13978,32,100	// Kid_Box
13979,32,100	// Magic_Castle_Box
13980,32,100	// Bulging_Head_Box
13981,32,100	// Picture_Diary_Box_1m
13982,32,100	// Mini_Heart_Box_1m
13983,32,100	// Newcomer_Box_1m
13984,32,100	// Kid_Box_1m
13985,32,100	// Magic_Castle_Box_1m
13986,32,100	// Bulging_Head_Box_1m
13987,32,100	// Ori_Stone_5_Box
13988,32,100	// Ori_Stone_50_Box
13989,32,100	// Acidbomb_10_Box
13990,32,100	// Job_Manual50_Box
13991,32,100	// Tiger_Mask_Box
13992,32,100	// Cat_Hat_Box
13993,32,100	// Alice_Doll_Box
13994,32,100	// Speed_Up_Potion_Box5
13995,32,100	// Speed_Up_Potion_Box10
13996,32,100	// Big_Bun_Box100
13997,32,100	// Big_Bun_Box500
13998,32,100	// Giant_Flywing_Box500
13999,32,100	// Pill_Box100
14000,32,100	// Pill_Box500
14001,32,100	// Basic_Siege_Supply_Box
14002,32,100	// Adv_Siege_Supply_Box
14003,32,100	// Elite_Siege_Supply_Box
14004,32,100	// Poison_Bottle_10_Box
14005,32,100	// Poison_Bottle_5_Box
14006,32,100	// F_Drooping_W_Kitty_Box
14007,32,100	// F_Rabbit_Ear_Hat_Box
14008,32,100	// F_L_Orc_Hero_Helm_Box
14009,32,100	// F_Love_Angel_Box
14010,32,100	// F_Squirrel_Box
14011,32,100	// F_Gogo_Box
14012,32,100	// F_Love_Angel_Box_1m
14013,32,100	// F_Squirrel_Box_1m
14014,32,100	// F_Gogo_Box_1m
14015,32,100	// F_Wasteland_Outlaw_Box
14016,32,100	// F_Lever_Action_Rifle_Box
14017,32,100	// F_All_In_One_Ring_Box
14018,32,100	// F_Spritual_Tunic_Box
14019,32,100	// F_Recuperative_Box
14020,32,100	// F_Shelter_Resist_Box
14021,32,100	// F_Sylphid_Manteau_Box
14022,32,100	// F_Refresh_Shoes_Box
14023,32,100	// F_Toast_Box
14024,32,100	// F_Robo_Eye_Box
14025,32,100	// F_Twin_Ribbon_Box
14026,32,100	// F_Diadem_Box
14027,32,100	// F_Fish_Head_Hat_Box
14028,32,100	// F_Santa_Poring_Hat_Box
14029,32,100	// F_Bell_Ribbon_Box
14030,32,100	// F_Mimic_Scroll_Box5
14031,32,100	// F_Disguise_Scroll_Box5
14032,32,100	// F_Alice_Scroll_Box5
14033,32,100	// F_Mimic_Scroll_Box10
14034,32,100	// F_Disguise_Scroll_Box10
14035,32,100	// F_Alice_Scroll_Box10
14036,32,100	// F_New_Style_Coupon_Box
14037,32,100	// F_Repair_Scroll_Box
14038,32,100	// F_Repair_Scroll_Box10
14039,32,100	// F_Hockey_Mask_Box
14040,32,100	// F_Observer_Box
14041,32,100	// F_WOB_Rune_Box5
14042,32,100	// F_WOB_Rune_Box10
14043,32,100	// F_WOB_Schwaltz_Box5
14044,32,100	// F_WOB_Schwaltz_Box10
14045,32,100	// F_WOB_Rachel_Box5
14046,32,100	// F_WOB_Rachel_Box10
14047,32,100	// F_WOB_Local_Box5
14048,32,100	// F_WOB_Local_Box10
14049,32,100	// F_Spark_Candy_Box5
14050,32,100	// F_Spark_Candy_Box10
14051,32,100	// F_Dun_Tel_Scroll2_Box5
14052,32,100	// F_Dun_Tel_Scroll2_Box10
14053,32,100	// F_Little_Angel_Doll_Box
14054,32,100	// F_Triple_Poring_Hat_Box
14055,32,100	// F_Nagan_Box
14056,32,100	// F_Skewer_Box
14057,32,100	// F_Survival_Rod_Box
14058,32,100	// F_Quadrille_Box
14059,32,100	// F_Great_Axe_Box
14060,32,100	// F_Bloody_Roar_Box
14061,32,100	// F_Hardback_Box
14062,32,100	// F_Fire_Brand_Box
14063,32,100	// F_Immaterial_Sword_Box
14064,32,100	// F_Unholy_Touch_Box
14065,32,100	// F_Clack_Of_Servival_Box
14066,32,100	// F_Masquerade_Box
14067,32,100	// F_Orc_Hero_Helm_Box
14068,32,100	// F_Ear_Of_Devil_Wing_Box
14069,32,100	// F_Dark_Blindfold_Box
14070,32,100	// F_K_Drooping_Kitty_Box
14071,32,100	// F_Corsair_Box
14072,32,100	// F_Bloody_Iron_Ball_Box
14073,32,100	// F_Spiritual_Ring_Box
14074,32,100	// F_G_O_I_Box5
14075,32,100	// F_G_O_I_Box10
14076,32,100	// F_Shadow_Armor_S_Box5
14077,32,100	// F_Shadow_Armor_S_Box10
14078,32,100	// F_Shadow_Armor_S_Box30
14079,32,100	// F_Holy_Armor_S_Box5
14080,32,100	// F_Holy_Armor_S_Box10
14081,32,100	// F_Holy_Armor_S_Box30
14082,32,100	// FS_Def_Potion_Box10
14083,32,100	// FS_Def_Potion_Box30
14084,32,100	// FS_Def_Potion_Box50
14085,32,100	// FB_Def_Potion_Box10
14086,32,100	// FB_Def_Potion_Box30
14087,32,100	// FB_Def_Potion_Box50
14088,32,100	// FS_Mdef_Potion_Box10
14089,32,100	// FS_Mdef_Potion_Box30
14090,32,100	// FS_Mdef_Potion_Box50
14091,32,100	// FB_Mdef_Potion_Box10
14092,32,100	// FB_Mdef_Potion_Box30
14093,32,100	// FB_Mdef_Potion_Box50
14094,32,100	// F_Flying_Angel_Box
14095,32,100	// F_Cat_Hat_Box
14096,32,100	// F_M_F_H_Box
14097,32,100	// F_Chick_Hat_Box
14098,32,100	// F_Pecopeco_Hairband_Box
14099,32,100	// F_Red_Glasses_Box
14100,32,100	// F_Whisper_Mask_Box
14101,32,100	// F_Ramen_Hat_Box
14102,32,100	// F_Dun_Tele_Scroll1_Box
14103,32,100	// F_Max_Weight_Up_Box
14104,32,100	// F_S_Life_Potion_Box
14105,32,100	// F_S_Life_Potion_Box30
14106,32,100	// F_S_Life_Potion_Box50
14107,32,100	// F_M_Life_Potion_Box
14108,32,100	// F_M_Life_Potion_Box30
14109,32,100	// F_M_Life_Potion_Box50
14110,32,100	// F_Abrasive_Box5
14111,32,100	// F_Abrasive_Box10
14112,32,100	// F_Regeneration_Box5
14113,32,100	// F_Regeneration_Box10
14114,32,100	// F_Dun_Tele_Scroll_Box10
14115,32,100	// F_Infiltrator_Box
14116,32,100	// F_Muramasa_Box
14117,32,100	// F_Excalibur_Box
14118,32,100	// F_Combat_Knife_Box
14119,32,100	// F_Counter_Dagger_Box
14120,32,100	// F_Kaiser_Knuckle_Box
14121,32,100	// F_Mighty_Staff_Box
14122,32,100	// F_Right_Epsilon_Box
14123,32,100	// F_Balistar_Box
14124,32,100	// F_Diary_Of_Great_Sage
14125,32,100	// F_Asura_Box
14126,32,100	// F_Apple_Of_Archer_Box
14127,32,100	// F_Bunny_Band_Box
14128,32,100	// F_Sahkkat_Box
14129,32,100	// F_Lord_Circlet_Box
14130,32,100	// F_Elven_Ears_Box
14131,32,100	// F_Steel_Flower_Box
14132,32,100	// F_Critical_Ring_Box
14133,32,100	// F_Earring_Box
14134,32,100	// F_Ring_Box
14135,32,100	// F_Necklace_Box
14136,32,100	// F_Glove_Box
14137,32,100	// F_Brooch_Box
14138,32,100	// F_Rosary_Box
14139,32,100	// F_Safety_Ring_Box
14140,32,100	// F_Vesper_Core_Box01
14141,32,100	// F_Vesper_Core_Box02
14142,32,100	// F_Vesper_Core_Box03
14143,32,100	// F_Vesper_Core_Box04
14144,32,100	// F_Vigorgra_Package1
14145,32,100	// F_Vigorgra_Package2
14146,32,100	// F_Vigorgra_Package3
14147,32,100	// F_Vigorgra_Package4
14148,32,100	// F_Vigorgra_Package5
14149,32,100	// F_Vigorgra_Package6
14150,32,100	// F_Vigorgra_Package7
14151,32,100	// F_Vigorgra_Package8
14152,32,100	// F_Vigorgra_Package9
14153,32,100	// F_Vigorgra_Package10
14154,32,100	// F_Vigorgra_Package11
14155,32,100	// F_Vigorgra_Package12
14156,32,100	// F_Battle_Manual_Box
14157,32,100	// F_Insurance_Package
14158,32,100	// F_Bubble_Gum_Box
14159,32,100	// F_Str_Dish_Box
14160,32,100	// F_Agi_Dish_Box
14161,32,100	// F_Int_Dish_Box
14162,32,100	// F_Dex_Dish_Box
14163,32,100	// F_Luk_Dish_Box
14164,32,100	// F_Vit_Dish_Box
14165,32,100	// F_Kafra_Card_Box
14166,32,100	// F_Giant_Fly_Wing_Box
14167,32,100	// F_Neuralizer_Box
14168,32,100	// F_Convex_Mirror_Box
14169,32,100	// F_Blessing_10_Scroll_Box
14170,32,100	// F_Inc_Agi_10_Scroll_Box
14171,32,100	// F_Aspersio_5_Scroll_Box
14172,32,100	// F_Assumptio_5_Scroll_Box
14173,32,100	// F_Wind_Walk_10_Scroll_Box
14174,32,100	// F_Adrenaline_Scroll_Box
14175,32,100	// F_Megaphone_Box
14176,32,100	// F_Enriched_Elunium_Box
14177,32,100	// F_Enriched_Oridecon_Box
14178,32,100	// F_Token_Of_Siegfried_Box
14179,32,100	// F_Giant_Fly_Wing_Box50
14180,32,100	// F_Giant_Fly_Wing_Box100
14181,32,100	// F_Dex_Dish_Box30
14182,32,100	// F_Dex_Dish_Box50
14183,32,100	// F_Luk_Dish_Box30
14184,32,100	// F_Luk_Dish_Box50
14185,32,100	// F_Inc_Agi_10_Box30
14186,32,100	// F_Inc_Agi_10_Box50
14187,32,100	// F_Vit_Dish_Box30
14188,32,100	// F_Vit_Dish_Box50
14189,32,100	// F_Insurance_Package30
14190,32,100	// F_Insurance_Package50
14191,32,100	// F_Convex_Mirror_Box5
14192,32,100	// F_Convex_Mirror_Box30
14193,32,100	// F_Blessing10_Box30
14194,32,100	// F_Blessing10_Box50
14195,32,100	// F_Adrenaline10_Box30
14196,32,100	// F_Adrenaline10_Box50
14197,32,100	// F_Assumptio_5_Box30
14198,32,100	// F_Assumptio_5_Box50
14199,32,100	// F_Aspersio_5_Box30
14200,32,100	// F_Aspersio_5_Box50
14201,32,100	// F_Agi_Dish_Box30
14202,32,100	// F_Agi_Dish_Box50
14203,32,100	// F_Wind_Walk10_Box30
14204,32,100	// F_Wind_Walk10_Box50
14205,32,100	// F_Int_Dish_Box30
14206,32,100	// F_Int_Dish_Box50
14207,32,100	// F_Battle_Manual_Box1
14208,32,100	// F_Battle_Manual_Box5
14209,32,100	// F_Siegfried_Box5
14210,32,100	// F_Siegfried_Box20
14211,32,100	// F_Kafra_Card_Box30
14212,32,100	// F_Kafra_Card_Box50
14213,32,100	// F_Str_Dish_Box30
14214,32,100	// F_Str_Dish_Box50
14215,32,100	// F_Bubble_Gum_Box1
14216,32,100	// F_Bubble_Gum_Box5
14217,32,100	// F_Megaphone_Box1
14218,32,100	// F_Megaphone_Box5
14219,32,100	// F_Enriched_Elunium_Box5
14220,32,100	// F_Enriched_Oridecon_Box5
14221,32,100	// MP_Scroll_Box
14222,32,100	// MP_Scroll_Box30
14223,32,100	// MP_Scroll_Box50
14224,32,100	// Quagmire_Scroll_Box
14225,32,100	// Quagmire_Scroll_Box30
14226,32,100	// Quagmire_Scroll_Box50
14227,32,100	// Healing_Staff_Box
14228,32,100	// Praxinus_Box
14229,32,100	// Sakura_Scroll
14230,32,100	// Note_Headphones_Box
14231,32,100	// Novice_Breastplate_Boxes
14232,32,100	// Yggdrasilberry_Box_
14233,32,100	// Dead_Tree_Branch_Box1
14234,32,100	// Dead_Tree_Branch_Box2
14235,32,100	// Field_Manual_Box_2
14236,32,100	// Steamed_Tongue_Box_20
14237,32,100	// Steamed_Desert_Scorpions_Box_20
14238,32,100	// Stew_Of_Immortality_Box_20
14239,32,100	// Dragon_Breath_Cocktail_Box_20
14240,32,100	// Hwergelmir's_Tonic_Box_20
14241,32,100	// Nine_Tail_Dish_Box_20
14242,32,100	// Beholder_Ring_Box
14243,32,100	// Hallow_Ring_Box
14244,32,100	// Clamorous_Ring_Box
14245,32,100	// Chemical_Ring_Box
14246,32,100	// Insecticide_Ring_Box
14247,32,100	// Fisher_Ring_Box
14248,32,100	// Decussate_Ring_Box
14249,32,100	// Bloody_Ring_Box
14250,32,100	// Satanic_Ring_Box
14251,32,100	// Dragoon_Ring_Box
14252,32,100	// Beholder_Ring_Box2
14253,32,100	// Hallow_Ring_Box2
14254,32,100	// Clamorous_Ring_Box2
14255,32,100	// Chemical_Ring_Box2
14256,32,100	// Insecticide_Ring_Box2
14257,32,100	// Fisher_Ring_Box2
14258,32,100	// Decussate_Ring_Box2
14259,32,100	// Bloody_Ring_Box2
14260,32,100	// Satanic_Ring_Box2
14261,32,100	// Dragoon_Ring_Box2
14262,32,100	// Diary_Magic_Powder_Box
14263,32,100	// Mini_Heart_Magic_Powder_Box
14264,32,100	// Freshman_Magic_Powder_Box
14265,32,100	// Kid_Magic_Powder_Box
14266,32,100	// Magic_Magic_Powder_Box
14267,32,100	// JJangu_Magic_Powder_Box
14268,32,100	// Diary_Magic_Powder_Box4
14269,32,100	// Mini_Heart_Magic_Powder_Box4
14270,32,100	// Freshman_Magic_Powder_Box4
14271,32,100	// Kid_Magic_Powder_Box4
14272,32,100	// Magic_Magic_Powder_Box4
14273,32,100	// JJangu_Magic_Powder_Box4
14274,32,100	// Amplification_10_Scroll_Box2
14275,32,100	// Amplification_30_Scroll_Box2
14276,32,100	// Amplification_50_Scroll_Box2
14277,32,100	// Quagmire_10_Scroll_Box2
14278,32,100	// Quagmire_30_Scroll_Box2
14279,32,100	// Quagmire_50_Scroll_Box2
14280,32,100	// Healing_Staff_Box2
14281,32,100	// Praccsinos_Box
14282,32,100	// Emperium_Box
14283,32,100	// Marriage_Certificate_Box
14284,32,100	// Muffler_Box
14285,32,100	// Balkiriah_Shield_Box
14286,32,100	// Skull_Ring_Box
14287,32,100	// Baricade_Repair_Kit
14288,32,100	// Guardian_Stone_Repair_Kit
14289,32,100	// Cloth_Dye_Coupon_Box
14290,32,100	// Cloth_Dye_Coupon2_Box
14291,32,100	// Cloth_Dye_Coupon3_Box
14292,32,100	// Cloth_Dye_Coupon4_Box
14293,32,100	// Mercenary_Contract_Box
14294,32,100	// Mercenary_Contract_Box5
14295,32,100	// Mercenary_Contract_Box10
14296,32,100	// Angel_Scroll
14297,32,100	// Devil_Scroll
14298,32,100	// Surprise_Scroll
//14299,32,100	//
14300,32,100	// Mask_Of_Ifrit_Box
14301,32,100	// Ifrit's_Ear_Box
//14302,32,100	//
//14303,32,100	//
14304,32,100	// Scuba_Mask_Box
//14305,32,100	//
14306,32,100	// RWC_Special_Scroll
14307,32,100	// RWC_Limited_Scroll
14308,32,100	// Ardor_Scroll
//14309,32,100	//
//14310,32,100	//
//14311,32,100	//
//14312,32,100	//
//14313,32,100	//
14314,32,100	// PhreeoniS_Box
14315,32,100	// GhostringS_Box
14316,32,100	// July7_Scroll
14317,32,100	// Bacsojin_Scroll
//14318,32,100	//
//14319,32,100	//
//14320,32,100	//
14321,32,100	// Holy_Sabre_Box
14322,32,100	// Book_Of_Prayer_Box
14323,32,100	// Phenomena_Whip_Box
14324,32,100	// Staff_Of_Darkness_Box
14325,32,100	// Monk_Knuckle_Box
14326,32,100	// Mace_Of_Madness_Box
14327,32,100	// Spear_Of_Excellent_Box
14328,32,100	// Bow_Of_Evil_Box
14329,32,100	// Katar_Of_Speed_Box
14330,32,100	// Sharpshooter_Revolver_Box
//14331,32,100	//
//14332,32,100	//
//14333,32,100	//
//14334,32,100	//
//14335,32,100	//
//14336,32,100	//
//14337,32,100	//
//14338,32,100	//
//14339,32,100	//
//14340,32,100	//
//14341,32,100	//
//14342,32,100	//
14343,32,100	// Spiked_Scarf_Box
14344,32,100	// Rainbow_Scarf_Box
14345,32,100	// Animal_Scroll
//14346,32,100	//
//14347,32,100	//
//14348,32,100	//
14349,32,100	// Mental_Potion20_Box
14350,32,100	// Mental_Potion50_Box
14351,32,100	// Tyr's_Blessing20_Box
14352,32,100	// Tyr's_Blessing50_Box
//14353,32,100	//
//14354,32,100	//
//14355,32,100	//
//14356,32,100	//
//14357,32,100	//
//14358,32,100	//
//14359,32,100	//
//14360,32,100	//
14361,32,100	// Orc_HeroS_Box
14362,32,100	// Orc_LoadS_Box
14363,32,100	// Heart_Scroll
//14364,32,100	//
//14365,32,100	//
//14366,32,100	//
//14367,32,100	//
//14368,32,100	//
//14369,32,100	//
14381,32,100	// Piercing_Box_M
14382,32,100	// Lich_Bone_Box_M
14383,32,100	// Long_Horn_Box_M
14384,32,100	// Hunting_Spear_Box_M
14385,32,100	// Death_Note_Box_M
14386,32,100	// Destruction_Box_M
14387,32,100	// Rider_Insignia_Box_M
14388,32,100	// Mithril_Cape_Box_M
14389,32,100	// Sniping_Box_M
14390,32,100	// Orleans_Box_M
14391,32,100	// Spiritual_Box_M
14392,32,100	// Variant_Box_M
14393,32,100	// Almighty_Charm_Box
//14394,32,100	//
//14395,32,100	//
//14396,32,100	//
//14397,32,100	//
//14398,32,100	//
//14399,32,100	//
//14400,32,100	//
//14401,32,100	//
//14402,32,100	//
//14403,32,100	//
//14404,32,100	//
//14405,32,100	//
//14406,32,100	//
14407,32,100	// Xmas_Scroll
14408,32,100	// New_Year_Scroll
//14409,32,100	//
//14410,32,100	//
//14411,32,100	//
//14412,32,100	//
//14413,32,100	//
//14414,32,100	//
//14415,32,100	//
//14416,32,100	//
//14417,32,100	//
//14418,32,100	//
//14419,32,100	//
//14420,32,100	//
//14421,32,100	//
//14422,32,100	//
//14423,32,100	//
//14424,32,100	//
14426,32,100	// Fortune_Sword_Box
14427,32,100	// House_Auger_Box
14428,32,100	// Kamaitachi_Box
14429,32,100	// Berserk_Guitar_Box
14430,32,100	// Doom_Slayer_Box
14431,32,100	// Huuma_Blaze_Shuriken_Box
14432,32,100	// Odin's_Blessing_Box
14433,32,100	// Ring_Of_Flame_Lord_Box
14434,32,100	// Ring_Of_Resonance_Box
14435,32,100	// Boys_Cap_Box
14436,32,100	// Ulle's_Cap_Box
14437,32,100	// Sphinx_Helm_Box
14438,32,100	// Honglyun's_Sword_Box
14439,32,100	// Power_Of_Thor_Box
14440,32,100	// Dice_Hat_Box
14441,32,100	// King_Tiger_Doll_Hat_Box
14442,32,100	// Wondering_Wolf_Helm_Box
14443,32,100	// Pizza_Hat_Box
14444,32,100	// Icecream_Hat_Box
//14445,32,100	//
//14446,32,100	//
14447,32,100	// Pirate's_Pride_Box
14448,32,100	// Necromencer's_Hood_Box
//14449,32,100	//
//14450,32,100	//
14459,32,100	// Rabbit_Magic_Hat_Box
14460,32,100	// China_Wedding_Veil_Box
14461,32,100	// Asara_Fairy_Hat_Box
//14462,32,100	//
//14463,32,100	//
//14464,32,100	//
//14465,32,100	//
14488,32,100	// Blue_Pajamas_Hat_Box
14489,32,100	// Pink_Pajamas_Hat_Box
14490,32,100	// Shark_Hat_Box
//14491,32,100	//
//14492,32,100	//
//14493,32,100	//
14494,32,100	// Samambaia_Box
14499,32,100	// Peacock_Feather_Box
